Scenario,timestamp,lat,lon,BASIN,Tropical SST,Local SST,Relative SST
126,2015-01-06 00:00:00,-17.4,195.7,SP,27.52908,28.52265,0.9935703
126,2015-01-06 00:00:00,-8.0,75.0,SI,27.52908,29.026316,1.4972363
126,2015-01-20 00:00:00,-17.2,40.3,SI,27.52908,29.394665,1.8655853
126,2015-01-23 00:00:00,-11.9,136.5,SI,27.52908,30.357275,2.8281956
126,2015-01-26 00:00:00,-16.2,178.4,SP,27.52908,28.920618,1.3915386
126,2015-02-02 00:00:00,-10.2,99.6,SI,27.64071,29.43112,1.7904091
126,2015-02-03 00:00:00,-12.8,183.4,SP,27.64071,29.970608,2.329897
126,2015-02-03 00:00:00,-8.1,72.9,SI,27.64071,29.26806,1.6273499
126,2015-02-04 00:00:00,-8.3,154.6,SP,27.64071,30.20286,2.562149
126,2015-02-07 00:00:00,-10.2,79.6,SI,27.64071,29.14791,1.5071983
126,2015-02-14 00:00:00,-17.4,122.9,SI,27.64071,30.574102,2.9333916
126,2015-02-24 00:00:00,-17.5,188.8,SP,27.64071,29.21397,1.5732594
126,2015-02-27 00:00:00,-14.8,121.4,SI,27.64071,30.020584,2.3798733
126,2015-03-02 00:00:00,-11.9,183.1,SP,27.911469,30.176098,2.2646294
126,2015-03-19 00:00:00,-11.9,169.9,SP,27.911469,30.150986,2.2395172
126,2015-03-19 00:00:00,2.1,156.4,WP,27.911469,29.128433,1.2169647
126,2015-04-11 00:00:00,-13.5,119.8,SI,28.171041,29.80426,1.6332188
126,2015-04-25 00:00:00,2.6,158.8,WP,28.171041,29.220898,1.0498562
126,2015-05-01 00:00:00,8.3,133.0,WP,28.132162,29.670622,1.5384598
126,2015-05-06 00:00:00,6.5,175.5,WP,28.132162,29.206793,1.0746307
126,2015-06-23 00:00:00,10.9,152.9,WP,27.765518,29.182974,1.4174557
126,2015-07-08 00:00:00,8.3,142.3,WP,27.341799,30.0495,2.7077007
126,2015-07-09 00:00:00,16.2,148.2,WP,27.341799,29.169973,1.8281746
126,2015-07-10 00:00:00,7.6,175.6,WP,27.341799,29.657372,2.3155727
126,2015-07-18 00:00:00,14.9,152.5,WP,27.341799,29.062756,1.7209568
126,2015-07-30 00:00:00,13.2,118.5,WP,27.341799,29.670853,2.3290539
126,2015-08-01 00:00:00,4.6,162.8,WP,27.120617,30.108282,2.9876652
126,2015-08-01 00:00:00,19.4,146.0,WP,27.120617,29.442791,2.322174
126,2015-08-11 00:00:00,17.2,173.9,WP,27.120617,28.557354,1.4367371
126,2015-08-21 00:00:00,20.1,138.0,WP,27.120617,29.580912,2.4602947
126,2015-08-27 00:00:00,17.0,128.3,WP,27.120617,29.64359,2.522974
126,2015-09-02 00:00:00,9.9,142.4,WP,27.187016,29.88269,2.695675
126,2015-09-22 00:00:00,11.5,114.5,WP,27.187016,29.015024,1.8280087
126,2015-09-23 00:00:00,20.6,169.6,WP,27.187016,28.58493,1.3979149
126,2015-09-24 00:00:00,7.1,136.5,WP,27.187016,30.027817,2.8408012
126,2015-09-24 00:00:00,5.1,168.0,WP,27.187016,30.110561,2.9235458
126,2015-10-11 00:00:00,11.1,163.8,WP,27.435207,29.756746,2.321539
126,2015-11-09 00:00:00,-3.8,88.0,SI,27.600464,28.679634,1.0791702
126,2015-11-15 00:00:00,10.2,135.9,WP,27.600464,29.457312,1.8568478
126,2015-12-19 00:00:00,-9.9,171.2,SP,27.615051,29.954733,2.3396816
126,2015-12-22 00:00:00,-11.7,63.2,SI,27.615051,28.121578,0.50652695
126,2015-12-22 00:00:00,15.9,136.2,WP,27.615051,27.761063,0.14601135
126,2015-12-26 00:00:00,-11.1,169.7,SP,27.615051,29.648643,2.0335922
126,2016-01-03 00:00:00,-8.1,97.9,SI,27.599728,29.299236,1.6995087
126,2016-01-11 00:00:00,-11.1,192.6,SP,27.599728,30.030989,2.431261
126,2016-01-12 00:00:00,-11.6,72.2,SI,27.599728,28.76232,1.1625919
126,2016-01-22 00:00:00,-17.7,183.9,SP,27.599728,28.672373,1.0726452
126,2016-01-24 00:00:00,-13.3,119.5,SI,27.599728,29.935192,2.3354645
126,2016-01-27 00:00:00,-3.0,94.0,SI,27.599728,29.400019,1.8002911
126,2016-01-28 00:00:00,-13.5,170.7,SP,27.599728,29.713282,2.113554
126,2016-01-29 00:00:00,-11.5,64.9,SI,27.599728,28.78772,1.1879921
126,2016-02-06 00:00:00,-14.1,128.6,SI,27.719501,30.540527,2.8210258
126,2016-02-09 00:00:00,-13.0,134.0,SI,27.719501,30.688787,2.969286
126,2016-02-13 00:00:00,-12.2,89.7,SI,27.719501,28.825546,1.1060448
126,2016-02-20 00:00:00,-12.2,54.7,SI,27.719501,29.137045,1.4175434
